Token           ST_Position     
37              -1              
7               -1              
id              (17, 1)         
36              -1              
id              (18, 1)         
6               -1              
9               -1              
40              -1              
7               -1              
id              (17, 1)         
6               -1              
9               -1              
40              -1              
7               -1              
id              (18, 1)         
6               -1              
9               -1              
9               -1              
id              (13, 1)         
7               -1              
id              (8, 1)          
7               -1              
4               -1              
id              (17, 1)         
7               -1              
21              -1              
7               -1              
id              (18, 1)         
5               -1              
7               -1              
2               -1              
9               -1              
10              -1              
41              -1              
7               -1              
constant        (1, 1)          
6               -1              
9               -1              
3               -1              
7               -1              
id              (13, 1)         
7               -1              
id              (7, 1)          
7               -1              
2               -1              
9               -1              
10              -1              
41              -1              
7               -1              
constant        (2, 1)          
6               -1              
9               -1              
3               -1              
9               -1              
